keys,zh,en
PRETRAIN_PREVIEW,实时预览,Live Preview
PRETRAIN_NAME,名字,Name
PRETRAIN_AXIS_ARCH,架构族 (A),Architecture (A)
PRETRAIN_AXIS_ATTENTION,注意力 (B),Attention (B)
PRETRAIN_AXIS_CONTEXT,上下文 (D),Context (D)
PRETRAIN_INPUT_MODALITY,输入模态,Input modality
PRETRAIN_AXIS_MM,多模方法 (E),Multimodal method (E)
PRETRAIN_SIZE,大小,Size
PRETRAIN_SPEED_SECTION,训练加速因素,Training Speed Factors
PRETRAIN_SCORE_SECTION,性能分数因素,Performance Score Factors
PRETRAIN_CAP_SECTION,预估能力 (evaluate 后),Est. Capability (after evaluate)
PRETRAIN_AGENT_BONUS,  · agent +%.2f · 训练 ×%.2f,  · agent +%.2f · train ×%.2f
PRETRAIN_NO_GPU,无GPU,no GPU
PRETRAIN_NO_DATASET,(没有空闲数据集),(no idle datasets)
PRETRAIN_SRC_OPEN,开源数据集,Open-source
PRETRAIN_SRC_PURCHASED,商业采购,Commercial
PRETRAIN_DS_TOOLTIP,来源: %s\n质量 quality = %.2f (按 token×quality 加权进 evaluate)\n覆盖标签: %s,Source: %s\nquality = %.2f (weighted into evaluate by token×quality)\nCoverage tags: %s
PRETRAIN_NO_CS,(无 chief_scientist 可用),(no chief_scientist available)
PRETRAIN_AVAIL,(可用 %d),(avail %d)
PRETRAIN_TEMPLATE_MISSING,(模板未加载: %s),(template not loaded: %s)
PRETRAIN_PREVIEW_FAILED,preview 失败: %s,preview failed: %s
PRETRAIN_UNNAMED,(未命名),(unnamed)
PRETRAIN_SPEC,模型规格: %s · %s · %s · %s,Model spec: %s · %s · %s · %s
PRETRAIN_DURATION,预计时长: %d 周,Est. duration: %d wk
PRETRAIN_COST_RECUR,预计成本: $%s + $%s/周,Est. cost: $%s + $%s/wk
PRETRAIN_COST,预计成本: $%s,Est. cost: $%s
PRETRAIN_ERR_NAME,请为模型命名,Name the model
PRETRAIN_ERR_NAME_INVALID,"名字非法 (1..40 字符, 仅允许中英文/数字/-_./空格)",Invalid name (1–40 chars: letters/digits/-_./space)
PRETRAIN_ERR_NAME_TAKEN,名字 %s 已被使用,Name %s already used
PRETRAIN_ERR_SIZE,模型大小必须为正,Model size must be positive
PRETRAIN_ERR_DC,需要选数据中心,Select a datacenter
PRETRAIN_ERR_NO_COMPUTE,数据中心无算力 — 请先在基建面板购买 GPU,Datacenter has no compute — buy GPUs in Infrastructure first
PRETRAIN_ERR_DATASET,需要至少一个数据集,Select at least one dataset
PRETRAIN_ERR_CS,请招聘并空出一位 chief_scientist,Hire and free up a chief_scientist
PRETRAIN_START_FAILED,注意: 启动失败: %s,Note: start failed: %s
PRETRAIN_PRICING,推理成本 %s · 指导价 开源 %s · 闭源 %s,Inference cost %s · Guide: open %s · closed %s
PRETRAIN_SPEED_TOTAL,训练加速总计,Training speed total
PRETRAIN_SCORE_TOTAL,性能分数总计,Performance score total
PRETRAIN_NO_MOD,  (无修正),  (no modifier)
PRETRAIN_NO_EST,  (无预估),  (no estimate)
CAP_GENERAL,通用,General
CAP_CODE,代码,Code
CAP_REASONING,推理,Reasoning
CAP_MULTIMODAL,多模,Multimodal
CAP_AGENT,Agent,Agent
VALUE_NONE,无,none
VALUE_UNEVALUATED,未评估,not evaluated
POST_TITLE,启动后训练,Start Post-training
POST_DS_SECTION,数据集 (多选; 同目标轴按 token 加权合并后朝天花板饱和):,Datasets (multi-select; same-axis merged by token weight then saturates):
POST_LEAD,Lead (可选),Lead (optional)
POST_MODEL_NOTFOUND,目标模型: (未找到) %s,Target model: (not found) %s
POST_MODEL,目标模型: %s · %s · %.0f M params,Target model: %s · %s · %.0f M params
POST_CURRENT_CAP,当前能力: ,Current capability:
POST_UNEVALUATED,??  (未评估),??  (not evaluated)
POST_EVAL_STALE,  (评估过期),  (evaluation stale)
POST_DC_ITEM,%s · %d 卡,%s · %d GPUs
POST_DS_ITEM,%s [%s] · 目标 %s · %.3fB token · q %.2f,%s [%s] · target %s · %.3fB token · q %.2f
POST_DS_TOOLTIP,"目标轴: %s · token: %.0fM · 质量 q: %.2f\n同轴多份按 token 加权合并 (q̄ = Σ q·size / Σ size) 后统一结算;\n目标轴朝软天花板饱和; 堆份数/拆碎都不再刷分, 只能靠更大基座抬天花板。\nq 越高净分越稳 (gain∝q̄², forget∝1-q̄); 实际累加见下方预览。","Target axis: %s · token: %.0fM · quality q: %.2f\nSame-axis copies are token-weighted (q̄ = Σ q·size / Σ size) then settled together;\ntarget axis saturates toward a soft cap — splitting/stacking no longer grinds score, only a bigger base raises the cap.\nHigher q means steadier net (gain∝q̄², forget∝1-q̄); see preview below."
POST_NO_DS,(没有可用的后训练数据集; 去数据 tab 获取或购买),(No post-training datasets — get or buy them in the Data tab)
POST_LEAD_ITEM,%s (%s 级 · 能力 %.0f)%s,%s (%s · ability %.0f)%s
POST_NO_LEAD,(无 ml_research_lead 可用),(no ml_research_lead available)
POST_MODEL_MISSING,目标模型不存在,Target model not found
POST_DURATION_FULL,时长: %d 周 (档位 %s %d 周 + 数据量 %d 周),Duration: %d wk (tier %s %d wk + data %d wk)
POST_DURATION,时长: %d 周 (档位 %s),Duration: %d wk (tier %s)
POST_GPU_REQ,需求 GPU 数: ≥ %d,GPUs required: ≥ %d
POST_SELECT_DC,请选择数据中心,Select a datacenter
POST_DC_MISSING,选定的数据中心不存在,Selected datacenter not found
POST_DC_SHORT,"选定数据中心 %d 卡, 需 ≥ %d 卡 (档位 %s)","Selected datacenter has %d GPUs, need ≥ %d (tier %s)"
POST_DC_NO_COMPUTE,选定数据中心没有可用算力,Selected datacenter has no compute
POST_PER_DS,  %s → %s · %.2fB token · 质量 %.2f,  %s → %s · %.2fB token · quality %.2f
POST_PREVIEW_HINT,  (选择数据集查看预览),  (select datasets to preview)
POST_DELTA_HINT,累加 delta: (勾选数据集后显示),Cumulative delta: (shown after selecting datasets)
POST_NET_DASH,净分: —,Net: —
POST_PRED_HINT,预估完成后: (勾选数据集后显示),Predicted after: (shown after selecting datasets)
POST_DELTA,累加 delta (clamp 后): ,Cumulative delta (clamped):
POST_NET_WARN,"净分: %s ⚠ 净分将下降 %.1f, 是否继续?",Net: %s ⚠ net will drop %.1f — continue?
POST_NET,净分: %s,Net: %s
POST_PRED,预估完成后: ,Predicted after:
POST_LEAD_BONUS,科学家后训练加分: 能力上限 +%.0f%%,Scientist post-train bonus: +%.0f%% capability ceiling
POST_ERR_DS,请选择至少 1 个后训练数据集,Select at least 1 post-training dataset
POST_ERR_LEAD,请招聘并选择一位 ml_research_lead,Hire and select an ml_research_lead
FIELD_TYPE,类型,Type
PRODUCT_DLG_TITLE,新建产品,New Product
PRODUCT_EDIT_TITLE,编辑产品,Edit Product
PRODUCT_PUBLISH,上线,Publish
PRODUCT_BIND_MODEL,绑定模型,Bound model
PRODUCT_NAME_PLACEHOLDER,(留空使用默认名),(blank = default name)
PRODUCT_NAME,产品名,Product name
PRODUCT_ML_ENG,ML 工程师,ML engineers
PRODUCT_ML_TOOLTIP,"为产品配置的 ML 工程师人数, 每人 +5% 质量",ML engineers assigned to the product; +5% quality each
PRODUCT_SUB_PRICE,订阅价 ($/周),Subscription price ($/wk)
PRODUCT_AUTO_TRACK,自动跟随最新模型,Auto-track latest model
PRODUCT_AUTO_TOOLTIP,"勾选后, 同类型新模型发布时, 此产品自动重绑到最新模型","When checked, this product re-binds to the newest same-type model on release"
PRODUCT_LOCK_APP_NODE,(应用节点未解锁),(application node not unlocked)
PRODUCT_LOCK_NO_MODEL,(无满足能力阈值的已发布模型),(no published model meets the capability threshold)
PRODUCT_LOCK_NO_UNCOVERED,(所有 published 模型已有 API),(all published models already have an API)
PRODUCT_LOCKED_SHORT,(已锁),(locked)
PRODUCT_THRESH,%s≥%.0f (当前 %.0f),%s≥%.0f (now %.0f)
PRODUCT_NEED_RESEARCH,需研究 %s,needs research %s
PRODUCT_LEAD_ITEM,%s (%s 级 · %.0f)%s,%s (%s · %.0f)%s
PRODUCT_SELECT_TYPE,(请选择产品类型),(select a product type)
PRODUCT_NO_MODEL,(无可选模型 — %s),(no eligible model — %s)
PRODUCT_MODEL_MISSING,(模型不存在),(model not found)
PRODUCT_TYPE_API,类型: API · 价格沿用 model.per_token_price (用 research.set_api_price 调),Type: API · price follows model.per_token_price (set via research.set_api_price)
PRODUCT_UNRANKED,未上榜,unranked
PRODUCT_DEMAND_API,"估算需求: 总榜 %s — 进入前 3 名才有自然引流, 见用户系统设计 §5.5",Est. demand: overall %s — only top 3 gets organic traffic (see User System §5.5)
PRODUCT_TYPE_SUB,类型: %s · 每用户 %s,Type: %s · per user %s
PRODUCT_REVENUE_EST,周营收估算: %d 订阅 × $%d = $%s (待用户增长后才有意义),Est. weekly revenue: %d subs × $%d = $%s (meaningful once users grow)
PRODUCT_QUALITY_EST,预估质量: %.2f / 3.00  (模型能力总和 %.0f · ML 工程师 +%d 人),Est. quality: %.2f / 3.00  (model capability sum %.0f · ML engineers +%d)
PRODUCT_CREATE_FAILED,注意: 创建失败: %s,Note: create failed: %s
PRODUCT_GONE,注意: 产品已不存在,Note: product no longer exists
PRODUCT_UNBIND_FAILED,注意: 解绑旧 lead 失败: %s,Note: unbind old lead failed: %s
PRODUCT_BIND_FAILED,注意: 绑新 lead 失败: %s,Note: bind new lead failed: %s
PRODUCT_UPDATE_FAILED,注意: 更新失败: %s,Note: update failed: %s
COLLECT_MOD_AUDIO,音频,Audio
COLLECT_MOD_VIDEO,视频,Video
COLLECT_TAG_WEB,web (通用),web (general)
COLLECT_TAG_CODE,code (代码),code
COLLECT_TAG_REASONING,reasoning (推理),reasoning
COLLECT_TAG_CHAT,"chat (对话, 反映到 reasoning 轴)","chat (dialogue, maps to reasoning)"
COLLECT_TAG_BOOKS,books (书籍),books
COLLECT_TAG_AGENT,agent (工具/规划),agent (tools/planning)
COLLECT_TAG_MULTIMODAL,multimodal (跨模态),multimodal (cross-modal)
COLLECT_TITLE,自行采集数据集,Collect Dataset
COLLECT_START,启动采集,Start Collection
COLLECT_NAME_PLACEHOLDER,(可选) MyData v1,(optional) MyData v1
COLLECT_KIND_PRE,"预训练 (无标注, 便宜)","Pretrain (unlabeled, cheap)"
COLLECT_PRE_TOOLTIP,喂海量原始 token; cost 5k + size_B × 5k; quality 0.55 基线;\nv9: 玩家选 1-2 个专精 tag (默认 web); evaluate 时只在所选\n能力轴上沾光; 配合 token×quality 加权公式探索数据配比。,Feeds massive raw tokens; cost 5k + size_B × 5k; quality 0.55 base;\nv9: pick 1-2 specialty tags (default web); only the chosen axes benefit at\nevaluate; combine with the token×quality formula to explore data mixes.
COLLECT_KIND_POST,"后训练 (标注, 贵)","Post-train (labeled, costly)"
COLLECT_POST_TOOLTIP,少量高质量 SFT/RLHF; 按质量档定价 (众包→PhD 每条 $1~$800); 质量由档位与 lead 决定;\n必须选 target_capability; 完成后只会显著提升该一个轴; 其他 4 轴\n会被 forget (公式 K × (1-q))。质量低的会拖跨净分。,Small high-quality SFT/RLHF; priced by quality tier (crowd→PhD $1~$800/example); quality set by tier & lead;\nmust pick a target_capability; only that one axis improves on completion; the other 4\nget forgotten (K × (1-q)). Low quality drags down net score.
COLLECT_MOD_TOOLTIP,数据集模态; pretrain 训练时模型必须支持该模态 (text 总是允许).,Dataset modality; the model must support it during pretraining (text always allowed).
COLLECT_TAG_HINT,(最多选 2 个; 决定 evaluate 时该集偏向哪个能力轴),(pick up to 2; decides which capability axis this set favors at evaluate)
COLLECT_TARGET_AXIS,目标轴,Target axis
COLLECT_QUALITY_TIER,质量档,Quality tier
COLLECT_TIER_T1,基础 · 众包 (q0.65),Basic · crowd (q0.65)
COLLECT_TIER_T2,专业 · 领域标注 (q0.80),Pro · domain (q0.80)
COLLECT_TIER_T3,专家 · 资深 (q0.90),Expert · senior (q0.90)
COLLECT_TIER_T4,PhD 专家 (q0.95),PhD expert (q0.95)
COLLECT_TIER_TOOLTIP,质量越高标注人力越贵: 众包→领域→资深→PhD; 每条约 $1/$10/$60/$800; 成本按 (选档 + lead 加成) 的有效质量定档。,Higher quality = pricier labelers: crowd→domain→senior→PhD; ~$1/$10/$60/$800 per example; tier set by effective quality (tier + lead bonus).
COLLECT_SIZE_HINT_POST,(0.01 – 0.5 B tokens; SFT/RLHF 集典型 0.05B ≈ 50k examples),(0.01 – 0.5 B tokens; SFT/RLHF sets typically 0.05B ≈ 50k examples)
COLLECT_SIZE_HINT_PRE,"(1 – 100000 B tokens, 即 100T; web 清洗规模, FineWeb ≈ 15T)","(1 – 100000 B tokens = 100T; web-clean scale, FineWeb ≈ 15T)"
COLLECT_NO_LEAD,(无 data_scientist 可用),(no data_scientist available)
COLLECT_DURATION,时长: %d 周,Duration: %d wk
COLLECT_COST_RECUR,成本: $%s 一次性 + $%s/周 (合计 ≈ $%s),Cost: $%s one-time + $%s/wk (total ≈ $%s)
COLLECT_COST,成本: $%s 一次性,Cost: $%s one-time
COLLECT_QUALITY,质量: %.2f  (基线 %.2f%s),Quality: %.2f  (base %.2f%s)
COLLECT_TAGS,标签: %s,Tags: %s
COLLECT_AUTO_NAME,(自动命名),(auto-named)
COLLECT_SUMMARY_POST,完成产出: %s · posttrain · %.3f B · q.%.2f · 目标 %s · collected,Output: %s · posttrain · %.3f B · q.%.2f · target %s · collected
COLLECT_SUMMARY_PRE,完成产出: %s · pretrain · %.0f B · q.%.2f · tags [%s],Output: %s · pretrain · %.0f B · q.%.2f · tags [%s]
COLLECT_ERR_SIZE,大小必须为正,Size must be positive
COLLECT_ERR_LEAD,请招聘并空出一位 data_scientist,Hire and free up a data_scientist
COLLECT_STAFF_REQ,需占用 %d 名数据工程师 (当前空闲 %d),Occupies %d data engineer(s) (%d idle now)
COLLECT_ERR_STAFF,"数据工程师不足 (需 %d, 空闲 %d)","Not enough data engineers (need %d, %d idle)"
COLLECT_LEAD_HINT1,", 选 data_scientist lead 可加成",", select a data_scientist lead for a bonus"
COLLECT_LEAD_HINT2,", 当前 lead 非 data_scientist, 无加成",", current lead isn't a data_scientist — no bonus"
COLLECT_LEAD_HINT3,", lead 加成已计入",", lead bonus applied"
SUFFIX_PER_WEEK,/周,/wk
SUFFIX_RATE_PER_WEEK,%s/周,%s/wk
FIELD_STATUS,状态,Status
FIELD_TURN,回合,Turn
FIELD_DEMAND,需求,Demand
WEEK_N,第 %d 周,Week %d
LEAD_SIGNING_FEE,签约费,Signing fee
LEAD_WEEKLY_SALARY,周薪,Weekly salary
LEAD_SIGN,签约,Sign
LEAD_FIRE,解雇,Fire
LEAD_SUBTITLE,%s · %s 级  能力 %.0f,%s · %s · ability %.0f
LEAD_BONUS_LABEL,加成:,Bonus:
LEAD_NO_BONUS,(无加成),(no bonus)
LEAD_FOUNDER,创始人,Founder
LEAD_STATUS_BUSY,运营,Working
DC_OWN_CLOUD,云租用,Cloud
DC_CAPACITY,容量,Capacity
DC_TRAIN,训练,Train
DC_INFER,推理,Infer
DC_WEEKLY_COST,周成本,Weekly cost
DC_RENTAL,出租算力,Rental
DC_OWNERSHIP_RENTED,租用,Rented
DC_OWNERSHIP_OWNED,自建,Owned
DC_OWNERSHIP_CLOUD,云算力,Cloud
DC_RUNNING,在跑,Running
DC_DEPLOY,部署模型...,Deploy model...
DC_TERMINATE,关停并变现,Shut down & sell
DC_UNDEPLOY,撤回部署,Undeploy
DC_RENT_OUT,出租到算力平台,Rent out to platform
DC_STOP_RENT_OUT,停止出租,Stop renting
MODEL_STATUS_PRETRAINED,训练完成,Pretrained
MODEL_STATUS_POSTTRAINED,后训完成,Post-trained
MODEL_CAPABILITY,能力,Capability
MODEL_CONTEXT,上下文,Context
MODEL_MM_METHOD,多模方法,Multimodal method
MODEL_INFER_COST,推理成本,Inference cost
MODEL_GUIDE_PRICE,指导价,Guide price
MODEL_UNIT_PRICE,单价,Unit price
MODEL_PRICE_RATIO,定价比,Price ratio
MODEL_DEMAND_GROWTH,周需求增长,Weekly demand growth
MODEL_GUIDE_OC,开源 %s · 闭源 %s,Open %s · Closed %s
MODEL_DEMAND_ZERO,⚠ 需求归零 (单价 ≥ 2.5× 指导价),⚠ Demand zeroed (price ≥ 2.5× guide)
MODEL_CAP_UNKNOWN,总 ?? · 通 ?? / 码 ?? / 推 ?? / 多 ?? / Agent ??,Total ?? · Gen ?? / Code ?? / Rsn ?? / MM ?? / Agent ??
MODEL_STALE, (过期), (stale)
MODEL_CAP_LINE,总 %d · 通 %d / 码 %d / 推 %d / 多 %d / Agent %d%s,Total %d · Gen %d / Code %d / Rsn %d / MM %d / Agent %d%s
MODEL_EVALUATE,开始评估,Evaluate
MODEL_PUBLISH_CLOSED,发布 闭源,Publish closed
MODEL_PUBLISH_OPEN,发布 开源,Publish open
MODEL_PRICE_EDIT,改价...,Edit price...
MODEL_UNPUBLISH,下架,Unpublish
PRODUCT_TYPE_CHATBOT,聊天机器人,Chatbot
PRODUCT_TYPE_AGENT,智能体,Agent
PRODUCT_TYPE_MULTIMODAL,多模态助手,Multimodal Assistant
PRODUCT_TYPE_CODING,编程助手,Coding Assistant
PRODUCT_TYPE_API_SHORT,API,API
PRODUCT_SUBTITLE,%s · 绑定 %s,%s · bound %s
PRODUCT_EDIT,编辑...,Edit...
PRODUCT_SUB_PRICE_SHORT,订阅价,Sub price
PRODUCT_LAST_REV,上周营收,Last week revenue
PRODUCT_REF_SUB,参考订阅价,Suggested sub price
PRODUCT_SUBS,订阅数,Subscribers
PRODUCT_TS_USE,t/s 占用,t/s used
PRODUCT_WEEKLY_RATE,本周率,Weekly rate
PRODUCT_ORPHAN,孤儿 (模型未发布) -%d/周,orphan (model unpublished) -%d/wk
PRODUCT_PRICE_CLIFF,价格悬崖 → 清零,price cliff → zeroed
PRODUCT_RANK_TOTAL,竞品总榜,Overall rank
PRODUCT_RANK_SUB,竞品子榜,Sub-board rank
PRODUCT_RANK_GROWTH_LABEL,排名增长,Rank growth
PRODUCT_RANK_GROWTH,%s (总/子榜取较优),%s (best of overall/sub)
PRODUCT_PRICE_ELASTIC,价格弹性,Price elasticity
PRODUCT_CAP_GATE,能力门槛,Capability gate
PRODUCT_CAP_LOW,%s (模型能力偏低),%s (model capability low)
PRODUCT_UNIT_API,tokens 需求/周,tokens demand/wk
PRODUCT_UNIT_SUB,用户/周,users/wk
PRODUCT_MARKETING_DRAW,营销引流,Marketing inflow
PRODUCT_BASE_DRAW,基础引流,Base inflow
PRODUCT_INFLOW,+%s %s,+%s %s
SPEC_NAME_CHIEF_SCIENTIST,首席科学家,Chief Scientist
SPEC_NAME_ML_RESEARCH_LEAD,ML 研究主管,ML Research Lead
SPEC_NAME_EVAL_LEAD,评估主管,Eval Lead
SPEC_NAME_CHIEF_ENGINEER,首席工程师,Chief Engineer
SPEC_NAME_DATA_SCIENTIST,数据科学家,Data Scientist
SPEC_NAME_MARKETING_LEAD,营销主管,Marketing Lead
SPEC_GROUP_CHIEF_SCIENTIST,预训练 / 研究,Pretrain / Research
SPEC_GROUP_ML_RESEARCH_LEAD,后训练,Post-train
SPEC_GROUP_EVAL_LEAD,评估,Evaluate
SPEC_GROUP_CHIEF_ENGINEER,基建 / 产品,Infra / Product
SPEC_GROUP_DATA_SCIENTIST,数据采集,Data collection
SPEC_GROUP_MARKETING_LEAD,营销,Marketing
SPEC_GROUP_FOUNDER,万能 (无加成),Generalist (no bonus)
BONUS_PRETRAIN_SPEED,预训练加速,Pretrain speed
BONUS_PRETRAIN_SCORE,预训练分加成,Pretrain score
BONUS_POSTTRAIN_SPEED,后训练加速,Post-train speed
BONUS_POSTTRAIN_SCORE,后训练分加成,Post-train score
BONUS_EVALUATE_SPEED,评估加速,Eval speed
BONUS_EVALUATE_SCORE,评估分加成,Eval score
BONUS_RESEARCH_SPEED,科研加速,Research speed
BONUS_DATA_COLLECTION_SPEED,采集加速,Collection speed
BONUS_DATA_QUALITY,数据质量+,Data quality+
BONUS_CLUSTER_EFF,机房效率+,Cluster eff+
BONUS_PRODUCT_THROUGHPUT,产品吞吐,Product throughput
BONUS_CAMPAIGN_EFFICIENCY,营销转化,Campaign conversion
TECH_TREE_ARCH,模型架构,Architecture
TECH_TREE_ATTENTION,注意力,Attention
TECH_TREE_LOSS,Loss 函数,Loss function
TECH_TREE_ENGINEERING,工程优化,Engineering
TECH_TREE_APPLICATION,应用场景,Application
TECH_TREE_CONTEXT,上下文长度,Context length
OV_INFO,第 %d 周  ·  现金 $%s  ·  付费用户 %s,Week %d  ·  Cash $%s  ·  Paid users %s
OV_ASSET_TEAM,团队,Team
OV_ASSET_INFRA,基础设施,Infrastructure
OV_ASSET_RESEARCH,研发资产,R&D Assets
OV_ASSET_MARKET,市场资产,Market Assets
OV_ASSET_FLOW,流程,Flow
OV_LEADS,负责人: %d 位 (候选池 %d)  ·  员工: %d 在岗 (%d 在忙),Leads: %d (pool %d)  ·  Staff: %d on duty (%d busy)
OV_DC,数据中心: %d (在建 %d),Datacenters: %d (building %d)
OV_DS_MODELS,数据集: %d  ·  模型: %d (已发布 %d),Datasets: %d  ·  Models: %d (published %d)
OV_PROD,产品: %d  ·  营销活动: %d  ·  贷款: %d,Products: %d  ·  Campaigns: %d  ·  Loans: %d
OV_TASKS_EVENTS,进行中任务: %d  ·  待处理事件: %d,Active tasks: %d  ·  Pending events: %d
OV_HINT_EVENTS,有 %d 个待处理事件 — 去「事件」处理 (可能影响本周营收),%d pending events — handle them in Events (may affect this week's revenue)
OV_HINT_COMPUTE,算力不足: 部分产品需求被截断 — 去「基建」扩容,Insufficient compute: some product demand throttled — scale up in Infrastructure
OV_HINT_NO_PRODUCT,已发布模型尚无产品 — 去「产品」创建 Chatbot / Agent 等,Published models have no product — create a Chatbot / Agent in Products
OV_HINT_UNPUBLISHED,有未发布模型 — 去「模型」评估并发布以解锁营收,Unpublished models — evaluate & publish them in Models to unlock revenue
OV_HINT_NO_DC,尚无数据中心 — 去「基建」租用或自建以训练 / serving,No datacenter — rent or build one in Infrastructure to train / serve
OV_HINT_NO_LEAD,尚无 Lead — 去「招聘」签下首位 chief_scientist 以解锁预训练,No lead — sign your first chief_scientist in Hiring to unlock pretraining
OV_HINT_SMOOTH,"运营顺畅, 可考虑研究科技 / 扩张产品矩阵 / 推动融资",Running smoothly — consider researching tech / expanding products / raising funding
OV_HINT_CASH_NEGATIVE,资金为负 — 尽快削减开支 / 推动融资 / 申请贷款扭转赤字,Cash is negative — cut costs / raise funding / take a loan to turn it around
OV_HINT_BANKRUPTCY_CRITICAL,⚠ 资金已连续为负 %d/%d 周 — 再不扭转本局将结束!,⚠ Cash negative %d/%d weeks — turn it around or the run ends!
GAMEOVER_TITLE,游戏结束,Game Over
GAMEOVER_OK,返回主菜单,Return to Menu
GAMEOVER_BODY,"公司资金链断裂, 宣告破产。\n存活 %d 周 · 最终资金 $%s\n破产原因: %s",Your company ran out of cash and went bankrupt.\nSurvived %d weeks · Final cash $%s\nReason: %s
GAMEOVER_REASON_NEGATIVE,资金连续为负过久,Cash stayed negative too long
GAMEOVER_REASON_DEEP,资金缺口过大,Cash deficit too deep
BANKRUPTCY_WARN_TITLE,破产预警,Bankruptcy Warning
BANKRUPTCY_WARN_BODY,"资金已连续为负 %d 周。若到第 %d 周仍未扭转, 公司将破产、本局结束!","Cash has been negative for %d weeks. If it isn't turned around by week %d, the company goes bankrupt and the run ends!"
ECO_CASH,现金: $%s,Cash: $%s
ECO_DEBT,总负债: $%s  ·  贷款数量: %d,Total debt: $%s  ·  Loans: %d
ECO_EQUITY,股权: 创始人 %.1f%%  ·  投资人 %.1f%%,Equity: founder %.1f%%  ·  investors %.1f%%
ECO_BANKRUPTCY_STREAK,连续负现金周数: %d / %d,Negative-cash weeks: %d / %d
ECO_KPI_DEBT,总负债,Total debt
ECO_KPI_LOANS,%d 笔贷款,%d loans
ECO_KPI_FOUNDER_EQUITY,创始人股权,Founder equity
ECO_KPI_INVESTORS,投资人 %.1f%%,Investors %.1f%%
ECO_KPI_BANKRUPTCY,破产压力,Bankruptcy pressure
ECO_TABLE_CATEGORY,类目,Category
ECO_TABLE_AMOUNT,金额,Amount
ECO_TABLE_SUBTOTAL,小计,Subtotal
ECO_FUNDING_LOAD_FAILED,融资数据加载失败,Funding data failed to load
ECO_FUNDING_DETAIL,$%s ~ $%s · 稀释 %.1f%% ~ %.1f%%\n%s,$%s ~ $%s · dilution %.1f%% ~ %.1f%%\n%s
ECO_FUNDING_DONE,融资完成: %s,Funding done: %s
ECO_CREDIT,信用评级: %s  ·  最高可贷: $%s  ·  周期利率: %.2f%%,Credit rating: %s  ·  Max loan: $%s  ·  Periodic rate: %.2f%%
ECO_NO_LOANS,(暂无在借贷款),(no active loans)
ECO_LOAN_OK,贷款成功: %s,Loan taken: %s
ECO_LOAN_ROW,%s · 剩余 $%s · %d 周 · 周息 %.2f%%,%s · remaining $%s · %d wk · weekly interest %.2f%%
ECO_REPAY,还贷,Repay loan
ECO_NO_LAST_WEEK,"(尚无上周记录, 推进一周后开始显示)",(no last-week record yet — advance a week to see it)
ECO_NO_IO,(上周没有收入或支出),(no income or expense last week)
ECO_INCOME,收入,Income
ECO_NO_INCOME,  (无收入),  (no income)
ECO_SUBTOTAL_IN,小计  +$%s,Subtotal  +$%s
ECO_EXPENSE,支出,Expense
ECO_NO_EXPENSE,  (无支出),  (no expense)
ECO_SUBTOTAL_OUT,小计  -$%s,Subtotal  -$%s
ECO_NET_FLOW,上周净流: %s$%s,Last week net: %s$%s
ECO_NO_HISTORY,"(尚无历史记录, 下个回合 resolve 后开始累积)",(no history yet — accumulates after next resolve)
ECO_COL_WEEK,周,Week
ECO_COL_INCOME,总收入,Income
ECO_COL_EXPENSE,总支出,Expense
ECO_COL_NET,净流,Net
ECO_COL_CASH,期末现金,End cash
LEAD_FOUNDER_FULL,创始人 (万能 lead),Founder (generalist lead)
LEAD_LOCKED_BY,锁定 %s,Locked %s
LEAD_BUSY_ON,运营 %s,Working %s
LEAD_LABEL_FULL,%s (%s · %s 级 · %.0f),%s (%s · %s · %.0f)
MARKETING_LEAD_GONE,(已离职),(left the company)
DRAWER_MY_PUBLISHED,我的已发布模型,My published models
DRAWER_PUBLIC_OS,公共开源模型,Public open-source models
DRAWER_NO_OS,(暂无开源模型 — 等开源 NPC 首发),(no open-source models yet — wait for an OS NPC release)
DRAWER_OWN_MODEL,自有 · %s %s,Own · %s %s
DRAWER_OS_MODEL,开源 · %s — %s %s,OS · %s — %s %s
DRAWER_NO_DEPLOYABLE,"(没有可部署的模型, 先训练并发布一个)",(no deployable model — train & publish one first)
DRAWER_DEPLOY_TITLE,部署模型 → %s,Deploy model → %s
CALL_FOUNDER_JOIN,创始人下场,Founder joins
CALL_DEPLOY,部署 %s 到 %s,Deploy %s to %s
CALL_SERVE,Serving %s 到 %s,Serving %s to %s
CALL_TERMINATE_DC,关停 dc,Shut down DC
CALL_ACQUIRE,获取 %s,Acquire %s
CALL_PURCHASE,购买 %s,Buy %s
CALL_DELETE_DS,删除 dataset,Delete dataset
CALL_PUBLISH_CLOSED,发布闭源,Publish closed
CALL_PUBLISH_OPEN,发布开源,Publish open
CALL_DELETE_MODEL,删除模型,Delete model
CALL_CANCEL_TASK,取消任务,Cancel task
CALL_DELETE_PRODUCT,下架产品,Remove product
CALL_TERMINATE_CAMPAIGN,终止活动,Terminate campaign
CALL_PRICE_EDIT_PRODUCT,产品改价,Edit product price
MARKET_RULE_PREFIX,  规则: ,  Rule:
MARKET_EMPTY,  (空),  (empty)
MARKET_YOU_BADGE,你,YOU
